time_stamp,sensor_1,sensor_2
2020/12/17 19:41:05.411,-1485,0
2020/12/17 19:41:05.596,-1817,0
2020/12/17 19:41:05.795,-1863,0
2020/12/17 19:41:05.996,-1871,0
2020/12/17 19:41:06.199,-1931,0
2020/12/17 19:41:06.389,-2163,0
2020/12/17 19:41:06.581,-2320,0
2020/12/17 19:41:06.817,-2343,0
2020/12/17 19:41:07.034,-2343,0
2020/12/17 19:41:07.219,-2343,0
2020/12/17 19:41:07.388,-2343,0
2020/12/17 19:41:07.601,-2343,0
2020/12/17 19:41:07.794,-2343,0
2020/12/17 19:41:07.987,-2343,0
2020/12/17 19:41:08.203,-2343,0
2020/12/17 19:41:08.410,-2342,0
2020/12/17 19:41:08.613,-2345,0
2020/12/17 19:41:08.794,-2342,0
2020/12/17 19:41:08.993,-2342,0
2020/12/17 19:41:09.197,-2343,0
2020/12/17 19:41:09.399,-2343,0
2020/12/17 19:41:09.612,-2342,0
2020/12/17 19:41:09.819,-2342,0
2020/12/17 19:41:10.003,-2343,0
2020/12/17 19:41:10.203,-2273,0
2020/12/17 19:41:10.394,-2223,0
2020/12/17 19:41:10.592,-2213,0
2020/12/17 19:41:10.794,-2321,0
2020/12/17 19:41:10.994,-2584,0
2020/12/17 19:41:11.214,-2718,0
2020/12/17 19:41:11.407,-2741,0
2020/12/17 19:41:11.589,-2740,0
2020/12/17 19:41:11.788,-2740,0
2020/12/17 19:41:12.002,-2743,0
2020/12/17 19:41:12.191,-2742,0
2020/12/17 19:41:12.409,-2743,0
2020/12/17 19:41:12.613,-2742,0
2020/12/17 19:41:12.792,-2743,0
2020/12/17 19:41:12.992,-2743,0
2020/12/17 19:41:13.191,-2742,0
2020/12/17 19:41:13.395,-2745,0
2020/12/17 19:41:13.594,-2742,0
2020/12/17 19:41:13.794,-2745,0
2020/12/17 19:41:14.008,-2742,0
2020/12/17 19:41:14.195,-2745,0
2020/12/17 19:41:14.396,-2742,0
2020/12/17 19:41:14.595,-2742,0
2020/12/17 19:41:14.781,-2745,0
2020/12/17 19:41:14.999,-2742,0
2020/12/17 19:41:15.190,-2742,0
2020/12/17 19:41:15.411,-2742,0
2020/12/17 19:41:15.615,-2742,0
2020/12/17 19:41:15.834,-2742,0
2020/12/17 19:41:16.058,-2742,0
2020/12/17 19:41:16.278,-2742,0
2020/12/17 19:41:16.449,-2745,0
2020/12/17 19:41:16.632,-2742,0
2020/12/17 19:41:16.811,-2742,0
2020/12/17 19:41:17.033,-2742,0
2020/12/17 19:41:17.214,-2742,0
2020/12/17 19:41:17.414,-2742,0
2020/12/17 19:41:17.607,-2745,0
2020/12/17 19:41:17.798,-2742,0
2020/12/17 19:41:17.990,-2742,0
2020/12/17 19:41:18.192,-2743,0
2020/12/17 19:41:18.412,-2742,0
2020/12/17 19:41:18.579,-2745,0
2020/12/17 19:41:18.794,-2745,0
2020/12/17 19:41:18.996,-2742,0
2020/12/17 19:41:19.215,-2745,0
2020/12/17 19:41:19.415,-2742,0
2020/12/17 19:41:19.610,-2745,0
2020/12/17 19:41:19.812,-2742,0
2020/12/17 19:41:19.991,-2745,0
2020/12/17 19:41:20.193,-2745,0
2020/12/17 19:41:20.394,-2745,0
2020/12/17 19:41:20.615,-2742,0
2020/12/17 19:41:20.818,-2742,0
2020/12/17 19:41:21.018,-2745,0
2020/12/17 19:41:21.192,-2742,0
2020/12/17 19:41:21.394,-2745,0
2020/12/17 19:41:21.580,-2745,0
2020/12/17 19:41:21.794,-2745,0
2020/12/17 19:41:21.994,-2745,0
2020/12/17 19:41:22.180,-2745,0
2020/12/17 19:41:22.413,-2745,0
2020/12/17 19:41:22.615,-2745,0
2020/12/17 19:41:22.836,-2745,0
2020/12/17 19:41:23.047,-2742,0
2020/12/17 19:41:23.230,-2745,0
2020/12/17 19:41:23.412,-2745,0
2020/12/17 19:41:23.615,-2742,0
2020/12/17 19:41:23.813,-2742,0
2020/12/17 19:41:23.996,-2742,0
2020/12/17 19:41:24.197,-2742,0
2020/12/17 19:41:24.396,-2742,0
2020/12/17 19:41:24.599,-2742,0
2020/12/17 19:41:24.798,-2742,0
2020/12/17 19:41:24.992,-2742,0
2020/12/17 19:41:25.206,-2742,0
2020/12/17 19:41:25.392,-2745,0
2020/12/17 19:41:25.595,-2760,0
2020/12/17 19:41:25.796,-2828,0
2020/12/17 19:41:25.993,-2843,0
2020/12/17 19:41:26.193,-2842,0
2020/12/17 19:41:26.397,-2842,0
2020/12/17 19:41:26.616,-2842,0
2020/12/17 19:41:26.790,-2842,0
2020/12/17 19:41:26.991,-2842,0
2020/12/17 19:41:27.191,-2845,0
2020/12/17 19:41:27.380,-2842,0
2020/12/17 19:41:27.582,-2842,0
2020/12/17 19:41:27.784,-2865,0
2020/12/17 19:41:27.981,-2900,0
2020/12/17 19:41:28.219,-2925,0
2020/12/17 19:41:28.402,-2936,0
2020/12/17 19:41:28.585,-2938,0
2020/12/17 19:41:28.783,-2938,0
2020/12/17 19:41:29.013,-2938,0
2020/12/17 19:41:29.197,-2938,0
2020/12/17 19:41:29.388,-2938,0
2020/12/17 19:41:29.617,-2938,0
2020/12/17 19:41:29.832,-2938,0
2020/12/17 19:41:30.031,-2938,0
2020/12/17 19:41:30.254,-2938,0
2020/12/17 19:41:30.450,-2934,0
2020/12/17 19:41:30.632,-2825,0
2020/12/17 19:41:30.813,-2667,0
2020/12/17 19:41:31.002,-2554,0
2020/12/17 19:41:31.194,-2529,0
2020/12/17 19:41:31.392,-2547,0
2020/12/17 19:41:31.595,-2586,0
2020/12/17 19:41:31.796,-2522,0
2020/12/17 19:41:31.998,-1960,0
2020/12/17 19:41:32.199,-1373,0
2020/12/17 19:41:32.393,-318,0
